,S&P500 ,S&P500 월간수익률,미국채10년 변화율,S&P500 VIX 변화율,신용거래 변화율,MOVE Index 변화율,실업률 변화율,기대인플레이션 10년 변화율,금가격 변화율
2014-05-30,1923.57 ,2.10%,-0.17 ,-14.99%,0.04%,-1.00%,0.10,0.03 ,-3.25%
2014-04-30,1883.95 ,0.62%,-0.07 ,-3.39%,-2.61%,-4.74%,-0.50,0.05 ,0.59%
2014-03-31,1872.34 ,0.69%,0.07 ,-0.86%,-2.82%,7.20%,0.00,-0.04 ,-3.20%
2014-02-28,1859.45 ,4.31%,0.00 ,-23.95%,2.98%,-10.91%,0.10,0.05 ,6.58%
2014-01-31,1782.59 ,-3.56%,-0.39 ,34.18%,1.89%,-11.99%,-0.10,-0.10 ,3.57%
2013-12-31,1848.36 ,2.36%,0.29 ,0.15%,4.85%,8.21%,-0.20,0.08 ,-4.13%
2013-11-29,1805.81 ,2.80%,0.19 ,-0.36%,2.55%,10.19%,-0.30,-0.01 ,-5.27%
2013-10-31,1756.54 ,4.46%,-0.05 ,-17.17%,2.81%,-23.05%,0.00,-0.03 ,-0.45%
2013-09-30,1681.55 ,2.97%,-0.18 ,-2.41%,4.44%,-22.57%,0.00,0.09 ,-4.75%
2013-08-30,1632.97 ,-3.13%,0.21 ,26.47%,0.57%,25.34%,-0.10,-0.10 ,5.30%
2013-07-31,1685.73 ,4.95%,0.10 ,-20.23%,1.08%,-17.20%,-0.20,0.21 ,7.33%
2013-06-28,1606.28 ,-1.50%,0.35 ,3.44%,1.51%,24.72%,0.00,-0.20 ,-11.04%
2013-05-31,1630.74 ,2.08%,0.45 ,20.56%,-1.73%,62.43%,-0.10,-0.15 ,-6.02%
2013-04-30,1597.57 ,1.81%,-0.18 ,6.46%,1.17%,-14.09%,0.10,-0.17 ,-7.56%
2013-03-28,1569.19 ,3.60%,-0.03 ,-18.12%,3.48%,2.54%,-0.20,-0.02 ,1.13%
2013-02-28,1514.68 ,1.11%,-0.11 ,8.61%,0.57%,-14.79%,-0.30,-0.02 ,-5.05%
2013-01-31,1498.11 ,5.04%,0.23 ,-20.75%,9.33%,10.44%,0.10,0.11 ,-0.70%
2012-12-31,1426.19 ,0.71%,0.14 ,13.55%,1.02%,14.67%,0.20,0.03 ,-2.31%
2012-11-30,1416.18 ,0.28%,-0.08 ,-14.68%,2.66%,-27.45%,-0.10,-0.07 ,-0.33%
2012-10-31,1412.16 ,-1.98%,0.06 ,18.25%,0.93%,18.02%,0.00,0.07 ,-2.91%
2012-09-28,1440.67 ,2.42%,0.08 ,-9.96%,5.86%,-11.94%,-0.30,0.16 ,4.75%
2012-08-31,1406.58 ,1.98%,0.09 ,-7.71%,2.19%,-1.58%,-0.10,0.08 ,4.79%
2012-07-31,1379.32 ,1.26%,-0.18 ,10.83%,-2.31%,-4.64%,0.00,0.08 ,1.07%
2012-06-29,1362.16 ,3.96%,0.09 ,-29.01%,1.84%,-1.61%,0.00,0.01 ,2.37%
2012-05-31,1310.33 ,-6.27%,-0.35 ,40.29%,-5.97%,18.28%,0.00,-0.17 ,-6.26%
2012-04-30,1397.91 ,-0.75%,-0.30 ,10.65%,1.31%,-19.97%,0.00,-0.08 ,-0.20%
2012-03-30,1408.47 ,3.13%,0.24 ,-15.90%,2.41%,3.56%,-0.10,0.07 ,-1.69%
2012-02-29,1365.68 ,4.06%,0.12 ,-5.20%,4.25%,5.27%,0.00,0.17 ,-2.36%
2012-01-31,1312.41 ,4.36%,-0.03 ,-16.92%,2.73%,-20.86%,-0.20,0.15 ,11.05%
2011-12-30,1257.61 ,0.85%,-0.19 ,-15.83%,-0.76%,-8.63%,-0.10,-0.11 ,-10.39%
2011-11-30,1246.96 ,-0.51%,-0.04 ,-7.21%,-4.13%,-7.00%,-0.20,-0.02 ,1.85%
2011-10-31,1253.30 ,10.77%,0.19 ,-30.26%,6.29%,6.56%,-0.20,0.32 ,5.60%
2011-09-30,1131.42 ,-7.18%,-0.31 ,35.86%,-3.43%,2.76%,0.00,-0.32 ,-11.05%
2011-08-31,1218.89 ,-5.68%,-0.57 ,25.23%,-10.36%,11.25%,0.00,-0.36 ,12.20%
2011-07-29,1292.28 ,-2.15%,-0.36 ,52.85%,-0.20%,-1.01%,-0.10,0.05 ,8.46%
2011-06-30,1320.64 ,-1.83%,0.10 ,6.93%,-2.94%,24.34%,0.10,0.14 ,-2.31%
2011-05-31,1345.20 ,-1.35%,-0.23 ,4.75%,-1.43%,-6.90%,-0.10,-0.33 ,-1.79%
2011-04-29,1363.61 ,2.85%,-0.18 ,-16.85%,1.54%,-15.51%,0.10,0.08 ,9.18%
2011-03-31,1325.83 ,-0.10%,0.04 ,-3.32%,1.84%,0.44%,0.00,0.09 ,1.48%
2011-02-28,1327.22 ,3.20%,0.03 ,-6.04%,6.76%,-5.93%,-0.10,0.09 ,5.90%
2011-01-31,1286.12 ,2.26%,0.10 ,10.03%,4.20%,-12.86%,-0.20,0.04 ,-6.24%
