날짜,S&P500 Growth,S&P500 Value,S&P500 Momentum,S&P500 Quality,S&P500 Low Volatiltiy Index,S&P500 Div Aristocrt TR Index
2014-06-30,1056.20996,894.46997,192.769,343.889,5718.04,1632.53003
2014-05-30,1036.12,878.04999,189.89,339.092,5611.38,1609.58997
2014-04-30,1004.47998,869.48999,182.63,333.021,5569.95,1583.66003
2014-03-31,1002.33002,860.39001,184.841,331.363,5468.8,1564.78003
2014-02-28,1010.95001,840.16998,186.477,330.621,5371.08,1548.64001
2014-01-31,962.58752,811.48828,178.581,315.203,5192.16,1478.19995
2013-12-31,992.47198,846.60168,184.689,329.395,5332.49,1549.38
2013-11-29,967.70728,828.9079,181.596,321.858,5288.59,1517.63
2013-10-31,939.29999,808.15002,173.31,311.853,5239.91,1489.79004
2013-09-30,897,775.69,167.044,299.981,5019.44,1417.22595
2013-08-30,865.67828,758.26398,161.558,289.496,4936.03,1367.42603
2013-07-31,887.37,788.53998,167.197,299.326,5202.55,1421.92603
2013-06-28,845.37,751.53998,159.493,285.767,4999.89,1344.01404
2013-05-31,861.71002,759.78998,161.675,291.36,4983.73,1355.48499
2013-04-30,845.03998,743.53003,157.644,283.566,5177.29,1345.66895
2013-03-29,828.71002,731.53998,154.828,279.385,4992.23,1317.953
2013-02-28,799.64001,706.38,148.889,266.202,4774.38,1261.33203
2013-01-31,790.73999,698.81,146.122,261.735,4663.64,1230.52197
2012-12-31,761.33002,657.37,141.205,246.923,4446.98,1171.34399
2012-11-30,763.71112,644.90973,144.072,244.891,4486,1172.81702
2012-10-31,758.81042,645.82452,142.982,241.867,4513.38,1150.42004
2012-09-28,781.52197,651.43573,145.996,246.466,4525.05,1153.82996
2012-08-31,766.25189,632.76868,142.888,241.459,4461.64,1123.95996
2012-07-31,751.02032,620.89673,141.09,237.239,4516.48,1108.58997
2012-06-29,738.18927,616.68878,139.601,236.816,4430.93,1090.83997
2012-05-31,713.19849,590.09021,136.259,228.142,4265.94,1052.95996
2012-04-30,756.33618,634.08398,141.736,245.133,4349.95,1091.55005
2012-03-30,757.27649,643.67822,139.81,245.828,4309.78,1083.62
2012-02-29,734.64191,623.76068,133.491,238.553,4203.77,1052.69995
2012-01-31,704.96777,600.45227,126.412,229.157,4141.42,1029.34998
2011-12-30,677.63202,573.26221,121.132,216.842,4167.88,1001.63
2011-11-30,676.26031,564.18512,120.907,215.405,4054,985.78998
2011-10-31,678.82349,567.86969,120.81,215.049,4022.67,965.28998
