,S&P500,,,S&P500 Growth,,,S&P500 Value,,,S&P500 Momentum,,,S&P500 Quality,,,S&P500 Low Volatiltiy Index,,,S&P500 Div Aristocrt TR Index
티커,SPX Index,,,SGX Index,,,SVX Index,,,SP500MUN Index,,,SPXQUN Index,,,SP5LVI Index,,,SPDAUDT Index
,,,,,,,,,,,,,,,,,,,
Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가
2021-06-30,4297.5,,2021-06-30,2934.38696,,2021-06-30,1457.75,,2021-06-30,516.549,,2021-06-30,811.39,,2021-06-30,9816.32,,2021-06-30,3827.01294
2021-05-31,4204.11,,2021-05-31,2778.23608,,2021-05-31,1477.49805,,2021-05-31,482.004,,2021-05-31,775.24,,2021-05-31,9832.2,,2021-05-31,3872.63721
2021-04-30,4181.17,,2021-04-30,2805.7959,,2021-04-30,1445.70801,,2021-04-30,486.779,,2021-04-30,761.4,,2021-04-30,9733.3,,2021-04-30,3776.56006
2021-03-31,3972.89,,2021-03-31,2626.55298,,2021-03-31,1395.62,,2021-03-31,461.179,,2021-03-31,737.64,,2021-03-31,9357.25,,2021-03-31,3617.23901
2021-02-26,3811.15,,2021-02-26,2560.55005,,2021-02-26,1316.02795,,2021-02-26,452.337,,2021-02-26,709.19,,2021-02-26,8777.28,,2021-02-26,3363.61572
2021-01-29,3714.24,,2021-01-29,2562.86304,,2021-01-29,1245.04797,,2021-01-29,459.868,,2021-01-29,695.76,,2021-01-29,8887.22,,2021-01-29,3271.71289
2020-12-31,3756.07,,2020-12-31,2577.22095,,2020-12-31,1267.18005,,2020-12-31,460.575,,2020-12-31,699.61,,2020-12-31,9066.46,,2020-12-31,3333.73901
2020-11-30,3621.63,,2020-11-30,2477.7749,,2020-11-30,1226.93103,,2020-11-30,445.78,,2020-11-30,673.7,,2020-11-30,8893.87,,2020-11-30,3281.67065
2020-10-30,3269.96,,2020-10-30,2261.22412,,2020-10-30,1089.776,,2020-10-30,416.445,,2020-10-30,613.74,,2020-10-30,8391.94,,2020-10-30,2930.42603
2020-09-30,3363,,2020-09-30,2334.46289,,2020-09-30,1114.12402,,2020-09-30,432.737,,2020-09-30,640.65,,2020-09-30,8653.72,,2020-09-30,2987.93994
2020-08-31,3500.31,,2020-08-31,2450.91504,,2020-08-31,1143.86401,,2020-08-31,440.51,,2020-08-31,657.64,,2020-08-31,8821.16,,2020-08-31,3030.05591
2020-07-31,3271.12,,2020-07-31,2239.36108,,2020-07-31,1107.13501,,2020-07-31,407.276,,2020-07-31,608.97,,2020-07-31,8586.28,,2020-07-31,2912.86133
2020-06-30,3100.29,,2020-06-30,2094.21704,,2020-06-30,1070.37695,,2020-06-30,377.555,,2020-06-30,584.82,,2020-06-30,8004.44,,2020-06-30,2770.73706
2020-05-29,3044.31,,2020-05-29,2013.60303,,2020-05-29,1083.07104,,2020-05-29,367.755,,2020-05-29,581.35,,2020-05-29,8051.33,,2020-05-29,2737.87402
2020-04-30,2912.43,,2020-04-30,1903.30298,,2020-04-30,1053.14001,,2020-04-30,344.435,,2020-04-30,552.638,,2020-04-30,8042.58,,2020-04-30,2602.30811
2020-03-31,2584.59,,2020-03-31,1664.04504,,2020-03-31,953.09161,,2020-03-31,310.446,,2020-03-31,492.32,,2020-03-31,7546.73,,2020-03-31,2353.19092
2020-02-28,2954.22,,2020-02-28,1850.19275,,2020-02-28,1127.76624,,2020-02-28,340.952,,2020-02-28,542.15,,2020-02-28,8712.26,,2020-02-28,2725.62012
2020-01-31,3225.52,,2020-01-31,1995.59705,,2020-01-31,1249.47095,,2020-01-31,370.861,,2020-01-31,592.41,,2020-01-31,9653.89,,2020-01-31,2988.45361
2019-12-31,3230.78,,2019-12-31,1952.61804,,2019-12-31,1285.76697,,2019-12-31,360.438,,2019-12-31,598.51,,2019-12-31,9377.65,,2019-12-31,3067.56909
2019-11-29,3140.98,,2019-11-29,1899.10095,,2019-11-29,1249.44299,,2019-11-29,353.009,,2019-11-29,578.626,,2019-11-29,9241.66,,2019-11-29,3009.14502
