,S&P500,,,S&P500 Growth,,,S&P500 Value,,,S&P500 Momentum,,,S&P500 Quality,,,S&P500 Low Volatiltiy Index,,,S&P500 Div Aristocrt TR Index
티커,SPX Index,,,SGX Index,,,SVX Index,,,SP500MUN Index,,,SPXQUN Index,,,SP5LVI Index,,,SPDAUDT Index
,,,,,,,,,,,,,,,,,,,
Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가,,Date,현재가
2000-10-31,1429.4,,2000-10-31,805.09003,,2000-10-31,639.66998,,2000-10-31,143.272,,2000-10-31,123.001,,2000-10-31,2519.49,,2000-10-31,419.34
2000-09-29,1436.51,,2000-09-29,826.78998,,2000-09-29,628.71002,,2000-09-29,153.197,,2000-09-29,117.441,,2000-09-29,2466.17,,2000-09-29,392.23001
2000-08-31,1517.68,,2000-08-31,916.59998,,2000-08-31,629.54999,,2000-08-31,171.889,,2000-08-31,118.452,,2000-08-31,2397.17,,2000-08-31,395
2000-07-31,1430.83,,2000-07-31,866.90002,,2000-07-31,591.31,,2000-07-31,155.48,,2000-07-31,114.194,,2000-07-31,2239.71,,2000-07-31,385.73001
2000-06-30,1454.6,,2000-06-30,907.67999,,2000-06-30,580.33002,,2000-06-30,155.913,,2000-06-30,117.872,,2000-06-30,2214.46,,2000-06-30,381.14001
2000-05-31,1420.6,,2000-05-31,840.12,,2000-05-31,604.95001,,2000-05-31,144.711,,2000-05-31,110.99,,2000-05-31,2318.01,,2000-05-31,404.41
2000-04-28,1452.43,,2000-04-28,876.32001,,2000-04-28,604.52002,,2000-04-28,156.453,,2000-04-28,109.137,,2000-04-28,2217.75,,2000-04-28,388.03
2000-03-31,1498.58,,2000-03-31,922.40002,,2000-03-31,609.21002,,2000-03-31,164.048,,2000-03-31,108.01,,2000-03-31,2122.83,,2000-03-31,386.14999
2000-02-29,1366.42,,2000-02-29,844.82001,,2000-02-29,552.52002,,2000-02-29,150.341,,2000-02-29,101.163,,2000-02-29,1948.3,,2000-02-29,345.26001
2000-01-31,1394.46,,2000-01-31,827.78003,,2000-01-31,590.63,,2000-01-31,138.975,,2000-01-31,106.441,,2000-01-31,2186.05,,2000-01-31,380.17001
1999-12-31,1469.25,,1999-12-31,887.28998,,1999-12-31,610.60999,,1999-12-31,147.604,,1999-12-31,106.873,,1999-12-31,2270.66,,1999-12-31,413.17001
1999-11-30,1388.91,,1999-11-30,826.56,,1999-11-30,589.42999,,1999-11-30,128.103,,1999-11-30,106.151,,1999-11-30,2313.41,,1999-11-30,418.60001
1999-10-29,1362.93,,1999-10-29,793.19,,1999-10-29,594.03998,,1999-10-29,119.052,,1999-10-29,103.039,,1999-10-29,2446.92,,1999-10-29,423.72
1999-09-30,1282.71,,1999-09-30,742.21002,,1999-09-30,562.85999,,1999-09-30,114.868,,1999-09-30,96.41,,1999-09-30,2352.54,,1999-09-30,400.04001
1999-08-31,1320.41,,1999-08-31,755.79999,,1999-08-31,586.59003,,1999-08-31,114.273,,1999-08-31,102.723,,1999-08-31,2485.18,,1999-08-31,421.34
1999-07-30,1328.72,,1999-07-30,745.91998,,1999-07-30,603.09003,,1999-07-30,113.147,,1999-07-30,101.658,,1999-07-30,2517.61,,1999-07-30,437.44
1999-06-30,1372.71,,1999-06-30,770.90002,,1999-06-30,622.78998,,1999-06-30,116.29,,1999-06-30,104.215,,1999-06-30,2587.99,,1999-06-30,451.45001
1999-05-31,1301.84,,1999-05-31,719.97998,,1999-05-31,600.48999,,1999-05-31,106.951,,1999-05-31,99.773,,1999-05-31,2587.08,,1999-05-31,447.87
1999-04-30,1335.18,,1999-04-30,742.09003,,1999-04-30,612.60999,,1999-04-30,110.942,,1999-04-30,101.763,,1999-04-30,2518.98,,1999-04-30,451.73999
1999-03-31,1286.37,,1999-03-31,743.79999,,1999-03-31,564.65997,,1999-03-31,111.192,,1999-03-31,99.929,,1999-03-31,2326.71,,1999-03-31,423.78
1999-02-26,1238.33,,1999-02-26,710.13,,1999-02-26,548.81,,1999-02-26,104.144,,1999-02-26,98.546,,1999-02-26,2383.5,,1999-02-26,426.29999
1999-01-29,1279.64,,1999-01-29,739.54999,,1999-01-29,562.02002,,1999-01-29,108.843,,1999-01-29,102.617,,1999-01-29,2443.54,,1999-01-29,431.16
1998-12-31,1229.23,,1998-12-31,697.27002,,1998-12-31,551.54999,,1998-12-31,100,,1998-12-31,100,,1998-12-31,2543.28,,1998-12-31,436.63
1998-11-30,1163.63,,1998-11-30,648.63,,1998-11-30,533.59003,,,,,,,,1998-11-30,2513.6,,1998-11-30,425.63
1998-10-30,1098.67,,1998-10-30,608.04999,,1998-10-30,508.16,,,,,,,,1998-10-30,2436.25,,1998-10-30,405.64999
1998-09-30,1017.01,,1998-09-30,561.38,,1998-09-30,471.88,,,,,,,,1998-09-30,2339.97,,1998-09-30,371.70001
1998-08-31,957.28,,1998-08-31,526.85999,,1998-08-31,445.69,,,,,,,,1998-08-31,2223.38,,1998-08-31,358.62
1998-07-31,1120.67,,1998-07-31,606.19,,1998-07-31,532.17999,,,,,,,,1998-07-31,2396.19,,1998-07-31,406.39999
1998-06-30,1133.84,,1998-06-30,607.01001,,1998-06-30,544.65002,,,,,,,,1998-06-30,2512.73,,1998-06-30,417.70001
1998-05-29,1090.82,,1998-05-29,567.21997,,1998-05-29,541.21997,,,,,,,,1998-05-29,2504.66,,1998-05-29,410.97
1998-04-30,1111.75,,1998-04-30,579.34003,,1998-04-30,550.33002,,,,,,,,1998-04-30,2537.35,,1998-04-30,415.76999
1998-03-31,1101.75,,1998-03-31,575,,1998-03-31,544.51001,,,,,,,,1998-03-31,2598.84,,1998-03-31,423.72
1998-02-27,1049.34,,1998-02-27,547.35999,,1998-02-27,518.90002,,,,,,,,1998-02-27,2484.79,,1998-02-27,403.92999
1998-01-30,980.28,,1998-01-30,512.21997,,1998-01-30,483.84,,,,,,,,1998-01-30,2359.45,,1998-01-30,379.45001
1997-12-31,970.43,,1997-12-31,495.95001,,1997-12-31,490.39001,,,,,,,,1997-12-31,2426.84,,1997-12-31,373.75
1997-11-28,955.4,,1997-11-28,490.59,,1997-11-28,480.42999,,,,,,,,1997-11-28,2340.96,,1997-11-28,360.54001
1997-10-31,914.62,,1997-10-31,465.89001,,1997-10-31,463.76001,,,,,,,,1997-10-31,2239.97,,1997-10-31,340.81
1997-09-30,947.28,,1997-09-30,480.69,,1997-09-30,482.19,,,,,,,,1997-09-30,2292.52,,1997-09-30,343.57001
1997-08-29,899.47,,1997-08-29,457.98999,,1997-08-29,456.26999,,,,,,,,1997-08-29,2189.08,,1997-08-29,329.29001
1997-07-31,954.29,,1997-07-31,491.07999,,1997-07-31,478.88,,,,,,,,1997-07-31,2274.52,,1997-07-31,348.82999
1997-06-30,885.14,,1997-06-30,455.57001,,1997-06-30,444.09,,,,,,,,1997-06-30,2155.28,,1997-06-30,331.01001
1997-05-30,848.28,,1997-05-30,434.03,,1997-05-30,428.42999,,,,,,,,1997-05-30,2062.2,,1997-05-30,311.84
1997-04-30,801.34,,1997-04-30,410.26001,,1997-04-30,404.44,,,,,,,,1997-04-30,1953.18,,1997-04-30,292.47
1997-03-31,757.12,,1997-03-31,379.95999,,1997-03-31,390.42999,,,,,,,,1997-03-31,1913.92,,1997-03-31,280.45001
1997-02-28,790.82,,1997-02-28,399.48999,,1997-02-28,404.97,,,,,,,,1997-02-28,1986.91,,1997-02-28,294.70999
1997-01-31,786.16,,1997-01-31,396.67999,,1997-01-31,403.07999,,,,,,,,1997-01-31,1963.15,,1997-01-31,288.37
1996-12-31,740.74,,1996-12-31,368.14999,,1996-12-31,385.87,,,,,,,,1996-12-31,1921.88,,1996-12-31,275.88
1996-11-29,757.02,,1996-11-29,377.59,,1996-11-29,392.88,,,,,,,,1996-11-29,1963.23,,1996-11-29,280.47
1996-10-31,705.27,,1996-10-31,351.81,,1996-10-31,365.98001,,,,,,,,1996-10-31,1865.6,,1996-10-31,260.67001
1996-09-30,687.31,,1996-09-30,344.66,,1996-09-30,354.69,,,,,,,,1996-09-30,1798.54,,1996-09-30,259.57001
1996-08-30,651.99,,1996-08-30,322.91,,1996-08-30,340.82999,,,,,,,,1996-08-30,1740.49,,1996-08-30,247.13
1996-07-31,639.95,,1996-07-31,318.63,,1996-07-31,332.72,,,,,,,,1996-07-31,1713.31,,1996-07-31,244.14
1996-06-28,670.63,,1996-06-28,334.48001,,1996-06-28,348.04999,,,,,,,,1996-06-28,1799.7,,1996-06-28,253.98
1996-05-31,669.12,,1996-05-31,330.85999,,1996-05-31,350.29999,,,,,,,,1996-05-31,1757.09,,1996-05-31,252.58
1996-04-30,654.17,,1996-04-30,319.64001,,1996-04-30,346.51999,,,,,,,,1996-04-30,1741.66,,1996-04-30,245.62
1996-03-29,645.5,,1996-03-29,313.81,,1996-03-29,343.62,,,,,,,,1996-03-29,1743.29,,1996-03-29,241.48
1996-02-29,640.43,,1996-02-29,315.73001,,1996-02-29,336.26001,,,,,,,,1996-02-29,1732,,1996-02-29,238.09
1996-01-31,636.02,,1996-01-31,313.26001,,1996-01-31,334.26999,,,,,,,,1996-01-31,1744.65,,1996-01-31,232.82001
1995-12-29,615.93,,1995-12-29,302.04001,,1995-12-29,325.13,,,,,,,,1995-12-29,1694.99,,1995-12-29,228.21001
1995-11-30,605.37,,1995-11-30,299.23001,,1995-11-30,316.88,,,,,,,,1995-11-30,1644.23,,1995-11-30,221.8
1995-10-31,581.5,,1995-10-31,289.29999,,1995-10-31,302.28,,,,,,,,1995-10-31,1577.73,,1995-10-31,211.00999
1995-09-29,584.41,,1995-09-29,287.25,,1995-09-29,307.67001,,,,,,,,1995-09-29,1565.63,,1995-09-29,211.98
1995-08-31,561.88,,1995-08-31,274.28,,1995-08-31,297.92999,,,,,,,,1995-08-31,1502.05,,1995-08-31,204.62
1995-07-31,562.06,,1995-07-31,275.63,,1995-07-31,296.60999,,,,,,,,1995-07-31,1487.63,,1995-07-31,202.8
1995-06-30,544.75,,1995-06-30,267.32999,,1995-06-30,287.28,,,,,,,,1995-06-30,1452.82,,1995-06-30,198.74001
1995-05-31,533.4,,1995-05-31,257.98999,,,,,,,,,,,1995-05-31,1441.96,,1995-05-31,196.03
1995-04-28,514.71,,1995-04-28,249.55,,,,,,,,,,,1995-04-28,1393.99,,1995-04-28,190.17
1995-03-31,500.71,,1995-03-31,243.42999,,,,,,,,,,,1995-03-31,1373.16,,1995-03-31,187.87
1995-02-28,487.39,,1995-02-28,236.53,,,,,,,,,,,1995-02-28,1351.3,,1995-02-28,182.22
1995-01-31,470.42,,1995-01-31,227.99001,,,,,,,,,,,1995-01-31,1305.13,,1995-01-31,176.59
1994-12-30,459.27,,1994-12-30,222.67,,,,,,,,,,,1994-12-30,1270.75,,1994-12-30,169.52
1994-11-30,453.69,,1994-11-30,219.42,,,,,,,,,,,1994-11-30,1245.73,,1994-11-30,166.13
1994-10-31,472.35,,1994-10-31,227.33,,,,,,,,,,,1994-10-31,1299.77,,1994-10-31,171.53
1994-09-30,462.69,,1994-09-30,222.39,,,,,,,,,,,1994-09-30,1281.57,,1994-09-30,171.46001
1994-08-31,475.49,,1994-08-31,226.10001,,,,,,,,,,,1994-08-31,1325.7,,1994-08-31,173.60001
1994-07-29,458.26,,1994-07-29,215.11,,,,,,,,,,,1994-07-29,1294.97,,1994-07-29,162.8
1994-06-30,444.27,,1994-06-30,208.60001,,,,,,,,,,,1994-06-30,1249.4,,1994-06-30,158.78
1994-05-31,456.5,,1994-05-31,213.71001,,,,,,,,,,,1994-05-31,1278.54,,1994-05-31,159.95
1994-04-29,450.91,,1994-04-29,210.81,,,,,,,,,,,1994-04-29,1294.93,,1994-04-29,157.47
1994-03-31,445.77,,1994-03-31,210.11,,,,,,,,,,,1994-03-31,1277.98,,1994-03-31,156.63
1994-02-28,467.14,,1994-02-28,220.82001,,,,,,,,,,,1994-02-28,1332.51,,1994-02-28,164.73
1994-01-31,481.61,,1994-01-31,225.25999,,,,,,,,,,,1994-01-31,1377.05,,1994-01-31,167.60001
1993-12-31,466.45,,1993-12-31,220.85001,,,,,,,,,,,1993-12-31,1358.1,,1993-12-31,168.02
1993-11-30,461.79,,1993-11-30,219.77,,,,,,,,,,,1993-11-30,1340.27,,1993-11-30,163.97
1993-10-29,467.83,,1993-10-29,220.5,,,,,,,,,,,1993-10-29,1386.07,,1993-10-29,164.7
1993-09-30,458.93,,1993-09-30,212.77,,,,,,,,,,,1993-09-30,1380.3,,1993-09-30,161.58
1993-08-31,463.56,,1993-08-31,216.58,,,,,,,,,,,1993-08-31,1395.07,,1993-08-31,164.46001
1993-07-30,448.13,,1993-07-30,209.48,,,,,,,,,,,1993-07-30,1351.38,,1993-07-30,157.63
1993-06-30,450.53,,1993-06-30,214.03,,,,,,,,,,,1993-06-30,1344.7,,1993-06-30,159.57001
1993-05-31,450.19,,1993-05-31,216.41,,,,,,,,,,,1993-05-31,1324.42,,1993-05-31,161.63
1993-04-30,440.19,,1993-04-30,209.44,,,,,,,,,,,1993-04-30,1320.58,,1993-04-30,157.78999
1993-03-31,451.67,,1993-03-31,219.8,,,,,,,,,,,1993-03-31,1353.61,,1993-03-31,163.39999
1993-02-26,443.38,,1993-02-26,217.28,,,,,,,,,,,1993-02-26,1327.39,,1993-02-26,160.56
1993-01-29,438.78,,1993-01-29,219.45,,,,,,,,,,,1993-01-29,1282.19,,1993-01-29,159.64
1992-12-31,435.71,,1992-12-31,222.08,,,,,,,,,,,1992-12-31,1273.9,,1992-12-31,161.10001
1992-11-30,431.35,,1992-11-30,221.03,,,,,,,,,,,1992-11-30,1239.44,,1992-11-30,160.71001
1992-10-30,418.68,,1992-10-30,212.94,,,,,,,,,,,1992-10-30,1227.97,,1992-10-30,155.39999
1992-09-30,417.8,,,,,,,,,,,,,,1992-09-30,1239.87,,1992-09-30,151.81
1992-08-31,414.03,,,,,,,,,,,,,,1992-08-31,1224,,1992-08-31,148.36
1992-07-31,424.21,,,,,,,,,,,,,,1992-07-31,1238.04,,1992-07-31,151.53999
1992-06-30,408.14,,,,,,,,,,,,,,1992-06-30,1180.99,,1992-06-30,142.85001
1992-05-29,415.35,,,,,,,,,,,,,,1992-05-29,1184.16,,1992-05-29,144.78
1992-04-30,414.95,,,,,,,,,,,,,,1992-04-30,1176.48,,1992-04-30,142.56
1992-03-31,403.69,,,,,,,,,,,,,,1992-03-31,1143.13,,1992-03-31,141.61
1992-02-28,412.7,,,,,,,,,,,,,,1992-02-28,1155.11,,1992-02-28,143.7
1992-01-31,408.79,,,,,,,,,,,,,,1992-01-31,1160.89,,1992-01-31,142.42999
1991-12-31,417.09,,,,,,,,,,,,,,1991-12-31,1214.75,,1991-12-31,146.34
1991-11-29,375.22,,,,,,,,,,,,,,1991-11-29,1120.18,,1991-11-29,127.91
1991-10-31,392.46,,,,,,,,,,,,,,1991-10-31,1150,,1991-10-31,131.27
1991-09-30,387.86,,,,,,,,,,,,,,1991-09-30,1151.69,,1991-09-30,129.34
1991-08-30,395.43,,,,,,,,,,,,,,1991-08-30,1149.12,,1991-08-30,129.49001
1991-07-31,387.81,,,,,,,,,,,,,,1991-07-31,1132.99,,1991-07-31,125.43
1991-06-28,371.16,,,,,,,,,,,,,,1991-06-28,1097.6,,1991-06-28,121.47
1991-05-31,389.83,,,,,,,,,,,,,,1991-05-31,1142.48,,1991-05-31,127.37
1991-04-30,375.35,,,,,,,,,,,,,,1991-04-30,1122.84,,1991-04-30,120.08
1991-03-29,375.22,,,,,,,,,,,,,,1991-03-29,1128.32,,1991-03-29,122.03
1991-02-28,367.07,,,,,,,,,,,,,,1991-02-28,1106.69,,1991-02-28,116.31
1991-01-31,343.93,,,,,,,,,,,,,,1991-01-31,1058.95,,1991-01-31,109.35
1990-12-31,330.22,,,,,,,,,,,,,,1990-12-31,1039.66,,1990-12-31,105.65
1990-11-30,322.22,,,,,,,,,,,,,,1990-11-30,1018.05,,1990-11-30,101.13
1990-10-31,304,,,,,,,,,,,,,,1990-10-31,965.31,,1990-10-31,93.86
1990-09-28,306.05,,,,,,,,,,,,,,1990-09-28,957.88,,1990-09-28,92.37
1990-08-31,322.56,,,,,,,,,,,,,,1990-08-31,1001.22,,1990-08-31,95.6
1990-07-31,356.15,,,,,,,,,,,,,,1990-07-31,1099.49,,1990-07-31,106.8
1990-06-29,358.02,,,,,,,,,,,,,,1990-06-29,1096.09,,1990-06-29,107.63
1990-05-31,361.23,,,,,,,,,,,,,,1990-05-31,1105.63,,1990-05-31,106.57
1990-04-30,330.8,,,,,,,,,,,,,,1990-04-30,1033.67,,1990-04-30,95.73
1990-03-30,339.94,,,,,,,,,,,,,,1990-03-30,1082.01,,1990-03-30,98.71
1990-02-28,331.89,,,,,,,,,,,,,,1990-02-28,1067.13,,1990-02-28,95.14
1990-01-31,329.08,,,,,,,,,,,,,,1990-01-31,1071.48,,1990-01-31,94.7
1989-12-29,353.4,,,,,,,,,,,,,,1989-12-29,1144.36,,1989-12-29,100
1989-11-30,345.99,,,,,,,,,,,,,,1989-11-30,1115.21,,,
1989-10-31,340.36,,,,,,,,,,,,,,1989-10-31,1099.28,,,
1989-09-29,349.15,,,,,,,,,,,,,,1989-09-29,1108.01,,,
1989-08-31,351.45,,,,,,,,,,,,,,1989-08-31,1116.87,,,
1989-07-31,346.08,,,,,,,,,,,,,,1989-07-31,1105.55,,,
1989-06-30,317.98,,,,,,,,,,,,,,1989-06-30,1026.74,,,
1989-05-31,320.52,,,,,,,,,,,,,,1989-05-31,1025.3,,,
1989-04-28,309.64,,,,,,,,,,,,,,1989-04-28,987.69,,,
1989-03-31,294.87,,,,,,,,,,,,,,1989-03-31,947.35,,,
1989-02-28,288.86,,,,,,,,,,,,,,1989-02-28,927.58,,,
1989-01-31,297.47,,,,,,,,,,,,,,1989-01-31,944.38,,,
1988-12-30,277.72,,,,,,,,,,,,,,1988-12-30,896.18,,,
1988-11-30,273.7,,,,,,,,,,,,,,1988-11-30,889.85,,,
1988-10-31,278.97,,,,,,,,,,,,,,1988-10-31,913.6,,,
1988-09-30,271.91,,,,,,,,,,,,,,1988-09-30,885.48,,,
1988-08-31,261.52,,,,,,,,,,,,,,1988-08-31,848.18,,,
1988-07-29,272.02,,,,,,,,,,,,,,1988-07-29,869.84,,,
1988-06-30,273.5,,,,,,,,,,,,,,1988-06-30,867.39,,,
1988-05-31,262.16,,,,,,,,,,,,,,1988-05-31,842.88,,,
1988-04-29,261.33,,,,,,,,,,,,,,1988-04-29,833.53,,,
1988-03-31,258.89,,,,,,,,,,,,,,1988-03-31,841.38,,,
1988-02-29,267.82,,,,,,,,,,,,,,1988-02-29,865.93,,,
1988-01-29,257.07,,,,,,,,,,,,,,1988-01-29,842.49,,,
1987-12-31,247.08,,,,,,,,,,,,,,1987-12-31,788.63,,,
1987-11-30,230.3,,,,,,,,,,,,,,1987-11-30,747.57,,,
1987-10-30,251.79,,,,,,,,,,,,,,1987-10-30,795.75,,,
1987-09-30,321.83,,,,,,,,,,,,,,1987-09-30,967.68,,,
1987-08-31,329.8,,,,,,,,,,,,,,1987-08-31,990.66,,,
1987-07-31,318.66,,,,,,,,,,,,,,1987-07-31,961.32,,,
1987-06-30,304,,,,,,,,,,,,,,1987-06-30,930.45,,,
1987-05-29,290.1,,,,,,,,,,,,,,1987-05-29,886.38,,,
1987-04-30,288.36,,,,,,,,,,,,,,1987-04-30,885.14,,,
1987-03-31,291.7,,,,,,,,,,,,,,1987-03-31,907.66,,,
1987-02-27,284.2,,,,,,,,,,,,,,1987-02-27,919.57,,,
1987-01-30,274.08,,,,,,,,,,,,,,1987-01-30,899.11,,,
1986-12-31,242.17,,,,,,,,,,,,,,1986-12-31,810.75,,,
1986-11-28,249.22,,,,,,,,,,,,,,1986-11-28,834.92,,,
1986-10-31,243.98,,,,,,,,,,,,,,1986-10-31,819.73,,,
1986-09-30,231.32,,,,,,,,,,,,,,1986-09-30,778.15,,,
1986-08-29,252.93,,,,,,,,,,,,,,1986-08-29,845.73,,,
1986-07-31,236.12,,,,,,,,,,,,,,1986-07-31,782.43,,,
1986-06-30,250.84,,,,,,,,,,,,,,1986-06-30,807.19,,,
1986-05-30,247.35,,,,,,,,,,,,,,1986-05-30,789.16,,,
1986-04-30,235.52,,,,,,,,,,,,,,1986-04-30,756.53,,,
1986-03-31,238.9,,,,,,,,,,,,,,1986-03-31,770.78,,,
1986-02-28,226.92,,,,,,,,,,,,,,1986-02-28,721.06,,,
1986-01-31,211.78,,,,,,,,,,,,,,1986-01-31,664.9,,,
1985-12-31,211.28,,,,,,,,,,,,,,1985-12-31,654.25,,,
1985-11-29,202.17,,,,,,,,,,,,,,1985-11-29,623.9,,,
1985-10-31,189.82,,,,,,,,,,,,,,1985-10-31,587.77,,,
1985-09-30,182.08,,,,,,,,,,,,,,1985-09-30,559.21,,,
1985-08-30,188.63,,,,,,,,,,,,,,1985-08-30,577.86,,,
1985-07-31,190.92,,,,,,,,,,,,,,1985-07-31,580.33,,,
1985-06-28,191.85,,,,,,,,,,,,,,1985-06-28,591.3,,,
1985-05-31,189.55,,,,,,,,,,,,,,1985-05-31,577.61,,,
1985-04-30,179.83,,,,,,,,,,,,,,1985-04-30,547.69,,,
1985-03-29,180.66,,,,,,,,,,,,,,1985-03-29,546.68,,,
1985-02-28,181.18,,,,,,,,,,,,,,1985-02-28,529.01,,,
1985-01-31,179.63,,,,,,,,,,,,,,1985-01-31,516.7,,,
1984-12-31,167.24,,,,,,,,,,,,,,1984-12-31,493.27,,,
1984-11-30,163.58,,,,,,,,,,,,,,1984-11-30,482.18,,,
1984-10-31,166.09,,,,,,,,,,,,,,1984-10-31,481.82,,,
1984-09-28,166.1,,,,,,,,,,,,,,1984-09-28,474.19,,,
1984-08-31,166.68,,,,,,,,,,,,,,1984-08-31,471.36,,,
1984-07-31,150.66,,,,,,,,,,,,,,1984-07-31,435.92,,,
1984-06-29,153.18,,,,,,,,,,,,,,1984-06-29,439,,,
1984-05-31,150.55,,,,,,,,,,,,,,1984-05-31,421.43,,,
1984-04-30,160.05,,,,,,,,,,,,,,1984-04-30,436.38,,,
1984-03-30,159.18,,,,,,,,,,,,,,1984-03-30,435.16,,,
1984-02-29,157.06,,,,,,,,,,,,,,1984-02-29,433.17,,,
1984-01-31,163.41,,,,,,,,,,,,,,1984-01-31,452.58,,,
1983-12-30,164.93,,,,,,,,,,,,,,1983-12-30,458.76,,,
1983-11-30,166.4,,,,,,,,,,,,,,1983-11-30,470.39,,,
1983-10-31,163.55,,,,,,,,,,,,,,1983-10-31,465.81,,,
1983-09-30,166.07,,,,,,,,,,,,,,1983-09-30,455.11,,,
1983-08-31,164.4,,,,,,,,,,,,,,1983-08-31,435.09,,,
1983-07-29,162.56,,,,,,,,,,,,,,1983-07-29,433.89,,,
1983-06-30,168.11,,,,,,,,,,,,,,1983-06-30,433.87,,,
1983-05-31,162.39,,,,,,,,,,,,,,1983-05-31,429.14,,,
1983-04-29,164.42,,,,,,,,,,,,,,1983-04-29,428.58,,,
1983-03-31,152.96,,,,,,,,,,,,,,1983-03-31,408.63,,,
1983-02-28,148.06,,,,,,,,,,,,,,1983-02-28,395.8,,,
1983-01-31,145.3,,,,,,,,,,,,,,1983-01-31,385.92,,,
1982-12-31,140.64,,,,,,,,,,,,,,1982-12-31,380.22,,,
1982-11-30,138.54,,,,,,,,,,,,,,1982-11-30,377.42,,,
1982-10-29,133.71,,,,,,,,,,,,,,1982-10-29,365.79,,,
1982-09-30,120.42,,,,,,,,,,,,,,1982-09-30,334.83,,,
1982-08-31,119.51,,,,,,,,,,,,,,1982-08-31,326.02,,,
1982-07-30,107.09,,,,,,,,,,,,,,1982-07-30,296.79,,,
1982-06-30,109.61,,,,,,,,,,,,,,1982-06-30,302.65,,,
1982-05-31,111.88,,,,,,,,,,,,,,1982-05-31,307.55,,,
1982-04-30,116.44,,,,,,,,,,,,,,1982-04-30,319.89,,,
1982-03-31,111.96,,,,,,,,,,,,,,1982-03-31,309.73,,,
1982-02-26,113.11,,,,,,,,,,,,,,1982-02-26,310.45,,,
1982-01-29,120.4,,,,,,,,,,,,,,1982-01-29,314.49,,,
1981-12-31,122.55,,,,,,,,,,,,,,1981-12-31,316.11,,,
1981-11-30,126.35,,,,,,,,,,,,,,1981-11-30,322.98,,,
1981-10-30,121.89,,,,,,,,,,,,,,1981-10-30,309.18,,,
1981-09-30,116.18,,,,,,,,,,,,,,1981-09-30,293.39,,,
1981-08-31,122.79,,,,,,,,,,,,,,1981-08-31,302.52,,,
1981-07-31,130.92,,,,,,,,,,,,,,1981-07-31,315.66,,,
1981-06-30,131.21,,,,,,,,,,,,,,1981-06-30,323.21,,,
1981-05-29,132.59,,,,,,,,,,,,,,1981-05-29,322.14,,,
1981-04-30,132.81,,,,,,,,,,,,,,1981-04-30,317.17,,,
1981-03-31,136,,,,,,,,,,,,,,1981-03-31,311.13,,,
1981-02-27,131.27,,,,,,,,,,,,,,1981-02-27,292.7,,,
1981-01-30,129.55,,,,,,,,,,,,,,1981-01-30,286.33,,,
1980-12-31,135.76,,,,,,,,,,,,,,1980-12-31,285.73,,,
1980-11-28,140.52,,,,,,,,,,,,,,1980-11-28,280.03,,,
1980-10-31,127.47,,,,,,,,,,,,,,1980-10-31,274.21,,,
1980-09-30,125.46,,,,,,,,,,,,,,1980-09-30,275.57,,,
1980-08-29,122.38,,,,,,,,,,,,,,1980-08-29,277.25,,,
1980-07-31,121.67,,,,,,,,,,,,,,1980-07-31,277.03,,,
1980-06-30,114.24,,,,,,,,,,,,,,1980-06-30,263.86,,,
1980-05-30,111.24,,,,,,,,,,,,,,1980-05-30,257.75,,,
1980-04-30,106.29,,,,,,,,,,,,,,1980-04-30,244.99,,,
1980-03-31,102.09,,,,,,,,,,,,,,1980-03-31,228.37,,,
1980-02-29,113.66,,,,,,,,,,,,,,1980-02-29,239.85,,,
1980-01-31,114.16,,,,,,,,,,,,,,1980-01-31,253.13,,,
1979-12-31,107.94,,,,,,,,,,,,,,1979-12-31,248.69,,,
1979-11-30,106.16,,,,,,,,,,,,,,1979-11-30,248.21,,,
1979-10-31,101.82,,,,,,,,,,,,,,1979-10-31,239.91,,,
1979-09-28,109.32,,,,,,,,,,,,,,1979-09-28,259.1,,,
1979-08-31,109.32,,,,,,,,,,,,,,1979-08-31,262.96,,,
1979-07-31,103.81,,,,,,,,,,,,,,1979-07-31,254.54,,,
1979-06-29,102.91,,,,,,,,,,,,,,1979-06-29,251.55,,,
1979-05-31,99.08,,,,,,,,,,,,,,1979-05-31,242.88,,,
1979-04-30,101.76,,,,,,,,,,,,,,1979-04-30,244.56,,,
1979-03-30,101.59,,,,,,,,,,,,,,1979-03-30,246.66,,,
1979-02-28,96.28,,,,,,,,,,,,,,1979-02-28,238.46,,,
1979-01-31,99.93,,,,,,,,,,,,,,1979-01-31,244.89,,,
1978-12-29,96.11,,,,,,,,,,,,,,1978-12-29,233.79,,,
1978-11-30,94.7,,,,,,,,,,,,,,1978-11-30,234.49,,,
1978-10-31,93.15,,,,,,,,,,,,,,1978-10-31,231.75,,,
1978-09-29,102.54,,,,,,,,,,,,,,1978-09-29,250.01,,,
1978-08-31,103.29,,,,,,,,,,,,,,1978-08-31,251.61,,,
1978-07-31,100.68,,,,,,,,,,,,,,1978-07-31,247.09,,,
1978-06-30,95.53,,,,,,,,,,,,,,1978-06-30,238.57,,,
1978-05-31,97.29,,,,,,,,,,,,,,1978-05-31,240.8,,,
1978-04-28,96.83,,,,,,,,,,,,,,1978-04-28,239.64,,,
1978-03-31,89.21,,,,,,,,,,,,,,1978-03-31,227.99,,,
1978-02-28,87.04,,,,,,,,,,,,,,1978-02-28,221.67,,,
1978-01-31,89.25,,,,,,,,,,,,,,1978-01-31,225.25,,,
